"confirmed","deaths","recovered","newcase","date","infection_rate","recovery_rate"
555,17,28,0,2020-01-22,0,0.0504504504504504
654,18,30,99,2020-01-23,0.151376146788991,0.0458715596330275
941,26,36,287,2020-01-24,0.304994686503719,0.0382571732199787
1434,42,39,493,2020-01-25,0.343793584379358,0.0271966527196653
2118,56,52,684,2020-01-26,0.322946175637394,0.0245514636449481
2927,82,61,809,2020-01-27,0.27639221045439,0.0208404509736932
5578,131,107,2651,2020-01-28,0.475259949802797,0.0191825026891359
6166,133,126,588,2020-01-29,0.0953616607200778,0.0204346415828738
8234,171,143,2068,2020-01-30,0.251153752732572,0.017367014816614
9926,213,222,1692,2020-01-31,0.170461414467056,0.0223655047350393
12038,259,284,2112,2020-02-01,0.175444425984383,0.0235919587971424
16787,362,472,4749,2020-02-02,0.282897480193006,0.0281169952939775
19887,426,623,3100,2020-02-03,0.155880726102479,0.0313269975360788
23898,492,852,4011,2020-02-04,0.167838312829525,0.0356515189555611
27643,564,1124,3745,2020-02-05,0.135477336034439,0.0406612885721521
30802,634,1487,3159,2020-02-06,0.10255827543666,0.0482760859684436
34395,719,2011,3593,2020-02-07,0.104462857973543,0.0584678005524059
37129,806,2616,2734,2020-02-08,0.0736351638880659,0.070457055132107
40159,906,3244,3030,2020-02-09,0.0754500859085137,0.0807789038571678
42768,1013,3946,2609,2020-02-10,0.0610035540591096,0.0922652450430228
44810,1113,4683,2042,2020-02-11,0.0455701852265119,0.104507922338764
45228,1118,5150,418,2020-02-12,0.00924206243919696,0.11386751569824
60381,1371,6295,15153,2020-02-13,0.250956426690515,0.104254649641444
66908,1523,8058,6527,2020-02-14,0.0975518622586238,0.120434028815687
69050,1666,9395,2142,2020-02-15,0.031020999275887,0.136060825488776
71234,1770,10865,2184,2020-02-16,0.0306595165230087,0.152525479405902
73269,1868,12583,2035,2020-02-17,0.0277743656935402,0.171737023843645
75151,2008,14352,1882,2020-02-18,0.0250429136006174,0.190975502654655
75651,2123,16121,500,2020-02-19,0.00660929796037065,0.21309698483827
76211,2248,18177,560,2020-02-20,0.00734802062694362,0.238508876671347
76840,2252,18890,629,2020-02-21,0.0081858407079646,0.24583550234253
78601,2459,22886,1761,2020-02-22,0.0224042951107492,0.291166779048613
78981,2470,23394,380,2020-02-23,0.00481128372646586,0.296197819728796
79545,2630,25227,564,2020-02-24,0.0070903262304356,0.31714124080709
80398,2710,27905,853,2020-02-25,0.0106097166596184,0.347085748401702
81375,2771,30384,977,2020-02-26,0.0120061443932412,0.373382488479263
82735,2814,33277,1360,2020-02-27,0.016438025019641,0.40221188130779
84120,2873,36711,1385,2020-02-28,0.0164645744174988,0.436412268188302
86013,2942,39782,1893,2020-02-29,0.0220083010707684,0.462511480822666
88395,2996,42716,2382,2020-03-01,0.0269472255218055,0.483240002262571
90372,3085,45602,1977,2020-03-02,0.021876244854601,0.504603195680078
92957,3160,48228,2585,2020-03-03,0.02780855664447,0.518820529922437
95272,3255,51170,2315,2020-03-04,0.024298849609539,0.537093794609119
98028,3348,53796,2756,2020-03-05,0.0281144162892235,0.548781980658587
102018,3460,55865,3990,2020-03-06,0.0391107451626184,0.547599443235507
106036,3559,58359,4018,2020-03-07,0.0378927911275416,0.550369685767098
109993,3803,60694,3957,2020-03-08,0.0359750165919649,0.551798750829598
113946,3987,62493,3953,2020-03-09,0.0346918715882962,0.548443999789374
118967,4267,64404,5021,2020-03-10,0.0422049812132776,0.541360209133625
126675,4611,67002,7708,2020-03-11,0.0608486283797119,0.528928359976317
132450,4917,68324,5775,2020-03-12,0.0436013590033975,0.515847489618724
146783,5414,70251,14333,2020-03-13,0.0976475477405422,0.478604470544954
157801,5834,72622,11018,2020-03-14,0.0698221177305594,0.460212546181583
169032,6475,76032,11231,2020-03-15,0.066443040371054,0.449808320318046
183677,7153,78086,14645,2020-03-16,0.0797323562558186,0.425126717008662
199391,7964,80838,15714,2020-03-17,0.0788099763780712,0.405424517656263
218683,8867,83321,19292,2020-03-18,0.0882190202256234,0.381012698746588
245633,9981,84958,26950,2020-03-19,0.109716528316635,0.345873722179023
275963,11460,87403,30330,2020-03-20,0.1099060381283,0.316719995071803
307709,13180,91670,31746,2020-03-21,0.103168903087008,0.297911338309897
341784,14854,97885,34075,2020-03-22,0.0996974697469747,0.286394330922454
384630,16797,98351,42846,2020-03-23,0.111395366976055,0.255702883290435
425787,19079,107992,41157,2020-03-24,0.0966610065596178,0.25362916199884
476680,21877,113775,50893,2020-03-25,0.10676554501972,0.238682134765461
539069,24893,122145,62389,2020-03-26,0.115734720416125,0.226585093930462
603910,28388,130921,64841,2020-03-27,0.107368647646172,0.216788925502144
671653,32102,139424,67743,2020-03-28,0.100860116756718,0.207583380108479
731267,35572,148891,59614,2020-03-29,0.0815215236021863,0.203606890506477
795997,39620,164337,64730,2020-03-30,0.0813194019575451,0.206454295682019
872495,44365,177825,76498,2020-03-31,0.0876772932796177,0.203812056229549
948663,49863,192918,76168,2020-04-01,0.0802898394898926,0.203357778262671
1030010,56101,209967,81347,2020-04-02,0.0789769031368627,0.203849477189542
1113203,62205,225415,83193,2020-04-03,0.0747330001805601,0.202492267807399
1193711,68351,245832,80508,2020-04-04,0.0674434599329318,0.205939293514092
1265377,73540,259672,71666,2020-04-05,0.0566360855302412,0.205213149915006
1338067,79481,276252,72690,2020-04-06,0.0543246339682542,0.206456029481334
1415186,87712,299643,77119,2020-04-07,0.0544938969153171,0.211734005282698
1498895,94464,328359,83709,2020-04-08,0.0558471407270022,0.219067379636332
1585483,102237,353707,86588,2020-04-09,0.0546130106724575,0.223091007598315
1672988,109629,375509,87505,2020-04-10,0.0523046190409017,0.224454090525455
1749872,115854,401766,76884,2020-04-11,0.0439369279581592,0.229597364835828
1846819,121671,421180,96947,2020-04-12,0.0524940451663103,0.228056999630175
1916464,127587,448347,69645,2020-04-13,0.0363403643376552,0.233944911044507
1986284,134567,473436,69820,2020-04-14,0.0351510660107014,0.238352622283621
2067245,142918,510106,80961,2020-04-15,0.0391637178950729,0.246756431869469
2163941,150221,540926,96696,2020-04-16,0.044685136979243,0.249972619401361
2251672,158588,567049,87731,2020-04-17,0.0389626020130818,0.251834636661112
2325485,164601,590968,73813,2020-04-18,0.0317409056605396,0.254126773554764
2406054,169862,622623,80569,2020-04-19,0.0334859483619237,0.258773493861734
2479522,175726,644613,73468,2020-04-20,0.0296299044735235,0.259974704801974
2554727,182917,679456,75205,2020-04-21,0.029437587656137,0.265960315916339
2631781,189644,709881,77054,2020-04-22,0.0292782720142747,0.269734069818119
2720583,196485,738661,88802,2020-04-23,0.0326407979466166,0.271508349497148
2807495,203142,788712,86912,2020-04-24,0.0309571343849232,0.280930865415611
2892296,208774,816491,84801,2020-04-25,0.029319613206947,0.282298561419716
2965076,212708,845096,72780,2020-04-26,0.0245457452018093,0.285016640382911
3034072,217382,872865,68996,2020-04-27,0.0227403964045679,0.287687635626313
3109425,223929,906136,75353,2020-04-28,0.0242337409649694,0.291415937030158
3186589,230657,948318,77164,2020-04-29,0.0242152345344819,0.297596583682427
3270117,236559,1013284,83528,2020-04-30,0.0255428169695457,0.309861696079987
3357276,241722,1051537,87159,2020-05-01,0.0259612257079847,0.313211365404572
3438689,247205,1092416,81413,2020-05-02,0.0236755926459183,0.317683861494889
3516333,250694,1124732,77644,2020-05-03,0.0220809576339897,0.319859353479889
3592506,254808,1158819,76173,2020-05-04,0.0212033048796578,0.322565640808951
3672660,260714,1195359,80154,2020-05-05,0.0218245086667429,0.32547499632419
3762727,267277,1241365,90067,2020-05-06,0.0239366289395962,0.329910992745421
3851894,272579,1280833,89167,2020-05-07,0.0231488716979232,0.332520313383494
3943470,278054,1317383,91576,2020-05-08,0.0232221875657733,0.33406695118766
4029169,282287,1370933,85699,2020-05-09,0.0212696464208873,0.34025204701019
4105292,285874,1404527,76123,2020-05-10,0.018542651777267,0.342125968140634
4181640,289354,1451521,76348,2020-05-11,0.018257908380444,0.347117638055882
4265367,294889,1488542,83727,2020-05-12,0.0196294949531893,0.348983334845513
4350206,299981,1544398,84839,2020-05-13,0.0195022948338538,0.355017210679218
4447281,305171,1584114,97075,2020-05-14,0.0218279438605296,0.356198315330198
4543711,310304,1632122,96430,2020-05-15,0.0212227406188466,0.359204623709563
4639021,314424,1688714,95310,2020-05-16,0.0205452831534929,0.364023788639888
4717335,317712,1729621,78314,2020-05-17,0.0166013225687809,0.366652145756025
4805823,321412,1782542,88488,2020-05-18,0.0184126631380307,0.370912952890691
4902461,326158,1834647,96638,2020-05-19,0.0197121404943354,0.374229800094279
5005574,330926,1893575,103113,2020-05-20,0.0205996355263153,0.378293278652958
5111869,335657,1944840,106295,2020-05-21,0.0207937644724464,0.380455758940614
5218664,340851,2053491,106795,2020-05-22,0.0204640498027848,0.39348978972396
5323977,344742,2108462,105313,2020-05-23,0.0197808893614679,0.396031387814035
5419242,347870,2163902,95265,2020-05-24,0.0175790267347352,0.399299754467507
5506311,349062,2227625,87069,2020-05-25,0.0158125830524284,0.404558514766057
5598982,353180,2282839,92671,2020-05-26,0.0165514016655171,0.407723939816202
5701734,358326,2346232,102752,2020-05-27,0.0180211844326656,0.411494468174068
5821183,362944,2413089,119449,2020-05-28,0.0205197122303147,0.414535842628552
5942378,367536,2490435,121195,2020-05-29,0.0203950337726748,0.419097371456343
6080002,371610,2560888,137624,2020-05-30,0.0226355188698951,0.421198545658373
6187396,374478,2637208,107394,2020-05-31,0.0173568977967468,0.426222598327309
6282981,377554,2692105,95585,2020-06-01,0.0152133199193186,0.428475750603098
6403944,382296,2796228,120963,2020-06-02,0.0188888285094311,0.436641544648111
6522099,387745,2875332,118155,2020-06-03,0.0181161003535825,0.440859913349981
6649014,392879,2945385,126915,2020-06-04,0.0190877925659353,0.4429807186449
6779972,397453,3014544,130958,2020-06-05,0.0193154190017304,0.444624845058357
6915760,401265,3086748,135788,2020-06-06,0.0196345737850938,0.446335326847664
7027674,404006,3141849,111914,2020-06-07,0.0159247568968054,0.447068119551362
7130092,407707,3293412,102418,2020-06-08,0.0143641905321839,0.46190315636881
7254608,412562,3375694,124516,2020-06-09,0.0171637116712578,0.465317216312721
7389151,417623,3454832,134543,2020-06-10,0.0182081811564008,0.467554662233861
7527086,422322,3540714,137935,2020-06-11,0.0183251526553569,0.470396379156555
7656149,426545,3620438,129063,2020-06-12,0.0168574305437368,0.472879772846636
7791901,430722,3706372,135752,2020-06-13,0.0174221926074266,0.475669801246191
7925110,434129,3777157,133209,2020-06-14,0.016808473320875,0.476606255307497
8044663,437559,3857365,119553,2020-06-15,0.0148611570180131,0.479493671767233
8186473,444294,3955205,141810,2020-06-16,0.0173224781905468,0.483139075887748
8328685,449396,4073992,142212,2020-06-17,0.0170749644151508,0.489151888923642
8468705,454386,4155134,140020,2020-06-18,0.0165338147922262,0.490645736272547
8648774,460545,4250149,180069,2020-06-19,0.0208201763625688,0.491416355659195
8806595,464746,4365974,157821,2020-06-20,0.0179207741471023,0.495761869371761
8935273,468747,4434711,128678,2020-06-21,0.0144011268598061,0.496315109790154
9073260,472311,4526337,137987,2020-06-22,0.0152080949956245,0.498865567612964
9238052,477539,4630412,164792,2020-06-23,0.0178383927693847,0.501232510923299
9409498,482712,4746172,171446,2020-06-24,0.0182205256858549,0.504402253977842
9587195,487411,4839028,177697,2020-06-25,0.0185348269227861,0.504738664437304
9778566,492109,4945742,191371,2020-06-26,0.0195704564452497,0.50577375046607
9957498,496574,5052107,178932,2020-06-27,0.0179695742846245,0.507367111698139
10119644,499712,5141227,162146,2020-06-28,0.0160228956670808,0.508044255311748
10275992,503435,5235793,156348,2020-06-29,0.0152148814440494,0.50951703738189
10449832,508361,5353115,173840,2020-06-30,0.0166356741428953,0.512268044117838
10666930,513291,5469041,217098,2020-07-01,0.0203524350492597,0.51270993622345
10874417,518361,5753918,207487,2020-07-02,0.0190802872466634,0.529124273972573
11077903,523297,5863818,203486,2020-07-03,0.018368638902146,0.529325631394317
11271954,527661,6059651,194051,2020-07-04,0.0172153825326115,0.537586562187887
11454850,531133,6178973,182896,2020-07-05,0.0159666865999991,0.539419809076505
11620802,534954,6302585,165952,2020-07-06,0.0142805978451401,0.542353703298619
11831641,540984,6447610,210839,2020-07-07,0.0178199287824909,0.544946385712684
12043466,546257,6605559,211825,2020-07-08,0.017588375306577,0.548476576427417
12271553,551670,6740073,228087,2020-07-09,0.0185866450644022,0.549243685782883
12503942,556965,6879465,232389,2020-07-10,0.0185852589527367,0.550183694070238
12720381,561750,7005174,216439,2020-07-11,0.0170151350026387,0.550704731249795
12913142,565740,7116853,192761,2020-07-12,0.0149275056372802,0.551132559372459
13105192,569553,7257197,192050,2020-07-13,0.014654497240483,0.55376502686874
13326971,575148,7399397,221779,2020-07-14,0.0166413658437465,0.555219711966057
13557898,580582,7559178,230927,2020-07-15,0.0170326550620163,0.557547932577749
13810459,586332,7711548,252561,2020-07-16,0.0182876615469479,0.558384627187264
14052261,592988,7894858,241802,2020-07-17,0.0172073376661592,0.561821190198503
14290096,598609,8045815,237835,2020-07-18,0.0166433451531746,0.563034356102296
14504853,602661,8133692,214757,2020-07-19,0.0148058722139411,0.560756596430174
14710995,606829,8292688,206142,2020-07-20,0.0140127843154049,0.563706805691933
14944726,612998,8467335,233731,2020-07-21,0.0156396979108215,0.566576797727841
15225164,619920,8643722,280438,2020-07-22,0.01841937466158,0.567726035660437
15507881,629817,8813886,282717,2020-07-23,0.0182305371056175,0.568348828573033
15789074,635852,9043203,281193,2020-07-24,0.0178093408137805,0.572750688229088
16044757,641398,9262520,255683,2020-07-25,0.0159356106172253,0.577292632104057
16258079,645058,9402996,213322,2020-07-26,0.0131209843426151,0.578358365708519
16484206,650233,9572619,226127,2020-07-27,0.0137177975087183,0.580714594321377
16736727,656545,9746473,252521,2020-07-28,0.0150878364688628,0.582340442070902
17025889,663118,9948163,289162,2020-07-29,0.0169836652876099,0.584296244384067
17306523,669124,10170650,280634,2020-07-30,0.0162155044083667,0.587677259031176
17596559,675313,10369140,290036,2020-07-31,0.0164825407058278,0.589270890973627
17847574,680796,10553585,251015,2020-08-01,0.0140643764805233,0.59131762109517
18076718,685087,10690555,229144,2020-08-02,0.012676194871215,0.591399113489517
18278778,689402,10913000,202060,2020-08-03,0.0110543494756597,0.59703115820981
18537524,696350,11134735,258746,2020-08-04,0.0139579590025076,0.600659235828906
18808754,703302,11356275,271230,2020-08-05,0.0144204129630277,0.603776039603687
19093901,709787,11545401,285147,2020-08-06,0.0149339309971284,0.604664337580885
19374812,716089,11737927,280911,2020-08-07,0.0144987729429323,0.605834368870263
19634542,721499,11939109,259730,2020-08-08,0.0132282179029182,0.60806658999227
19858792,726039,12115825,224250,2020-08-09,0.0112922276440581,0.61009879150756
20086280,730973,12280520,227488,2020-08-10,0.0113255416134794,0.611388470139817
20341107,737391,12585473,254827,2020-08-11,0.012527685931744,0.618721144331034
20618174,743999,12826815,277067,2020-08-12,0.013437998922698,0.622112074522215
20904123,750232,12992176,285949,2020-08-13,0.0136790718271223,0.621512607823825
21208474,760366,13276831,304351,2020-08-14,0.0143504431294774,0.626015384228021
21456826,765715,13445842,248352,2020-08-15,0.0115744984836061,0.626646364191982
21669376,769903,13676868,212550,2020-08-16,0.00980877345060605,0.631161137265789
21878471,774036,13888301,209095,2020-08-17,0.00955711210349206,0.634793034668648
22134679,780909,14116451,256208,2020-08-18,0.011574958914019,0.637752686632591
22408212,787659,14333914,273533,2020-08-19,0.0122068195356238,0.639672366541338
22675329,793684,14541573,267117,2020-08-20,0.0117800716364468,0.641294906900799
22946050,799224,14712252,270721,2020-08-21,0.0117981526232184,0.641167085402498
23200598,804387,14911325,254548,2020-08-22,0.0109716137489215,0.642712959381478
23417506,808648,15137610,216908,2020-08-23,0.00926264308419522,0.646422808645805
23643854,812998,15337659,226348,2020-08-24,0.00957322778257724,0.648695386124445
23885885,819396,15570598,242031,2020-08-25,0.0101328043737965,0.65187444383995
24173746,825680,15794947,287861,2020-08-26,0.0119080013498942,0.653392610313685
24452944,831566,15996510,279198,2020-08-27,0.0114177663024951,0.654175219147437
24734448,837080,16196934,281504,2020-08-28,0.0113810504281316,0.654833049033477
24996456,842452,16408559,262008,2020-08-29,0.0104818059008045,0.656435416284613
25222709,846353,16616995,226253,2020-08-30,0.00897021013880785,0.658810875548697
25484767,850535,16818436,262058,2020-08-31,0.01028292705207,0.659940740286148
25749642,857015,17073236,264875,2020-09-01,0.010286550780007,0.663047509553725
26031410,863028,17291874,281768,2020-09-02,0.0108241543581389,0.664269588162915
26304856,868733,17512585,273446,2020-09-03,0.0103952669423471,0.665754832491765
26609482,874369,17717266,304626,2020-09-04,0.0114480244297878,0.665825287391915
26873146,879307,17917644,263664,2020-09-05,0.00981143034016188,0.666749028937661
27103845,883339,18137310,230699,2020-09-06,0.00851167057662852,0.669178487406492
