ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID936583900,1/21 Herbert St,2,u,730000.0,12/08/2017,1.0,1.0,292.0,19.0,-37.86528,145.11775
ID639338302,29 Stewart St,4,h,2230000.0,4/03/2017,2.0,3.0,851.0,79.0,-37.7637,144.9662
ID867071077,47 Kellett Gr,4,h,2245000.0,27/11/2016,3.0,2.0,627.0,60.0,-37.7915,145.0348
ID837469648,1/119 Melrose Dr,4,h,586000.0,8/07/2017,1.0,3.0,0.0,44.0,-37.70695,144.88513999999995
ID867645514,12 Pleasance St,3,h,1573000.0,17/06/2017,1.0,2.0,670.0,89.0,-37.91855,145.02628
ID220705510,40 Zetland Rd,6,h,2350000.0,12/11/2016,3.0,3.0,2026.0,40.0,-37.8176,145.1117
ID205441607,44 Draper St,2,h,1810000.0,10/12/2016,1.0,0.0,240.0,119.0,-37.8379,144.9539
ID255293260,74 Arthur St,3,h,796000.0,24/06/2017,2.0,2.0,534.0,69.0,-37.69852,145.04836
ID798309297,498 Waterdale Rd,3,h,950000.0,19/11/2016,1.0,2.0,800.0,59.0,-37.7406,145.0483
ID141279127,5/333 George St,3,u,772000.0,10/12/2016,2.0,1.0,203.0,33.0,-37.7776,145.1267
ID481504862,111/18 Bent St,2,u,631090.0,27/06/2016,2.0,1.0,2136.0,7.0,-37.7956,144.935
ID523765134,8 Marwarra St,4,h,910000.0,3/06/2017,1.0,2.0,669.0,54.0,-37.816559999999996,145.24247
ID546158019,299 South Rd,3,h,1590000.0,8/10/2016,3.0,2.0,481.0,7.0,-37.931,145.0198
ID412353159,481 Albion St,4,h,1585000.0,30/07/2016,1.0,2.0,562.0,99.0,-37.7583,144.9428
ID437986939,4 Frederick St,3,h,1170000.0,26/07/2016,1.0,0.0,285.0,129.0,-37.7634,144.9593
ID874449180,2 Gumleaf Ct,3,h,636000.0,8/07/2017,2.0,2.0,585.0,19.0,-37.75777,144.77974
ID434285922,20 Howie St,3,h,1875000.0,13/08/2016,2.0,3.0,607.0,99.0,-37.8534,145.0735
ID246788039,5/50 Barkly St,1,u,350000.0,1/07/2017,1.0,1.0,0.0,49.0,-37.798590000000004,144.97336
ID952572787,15A Riversdale Av,3,h,825000.0,22/07/2017,2.0,1.0,355.0,29.0,-38.07196,145.13036
ID376117659,11 Nottingham St,5,h,1900000.0,16/04/2016,2.0,2.0,566.0,129.0,-37.7893,144.933
ID315973230,12 Strada Cr,4,h,1245000.0,26/08/2017,2.0,2.0,652.0,38.0,-37.90562,145.16761
ID867768342,18 Primula Bvd,4,h,800000.0,26/07/2016,2.0,2.0,719.0,19.0,-37.7062,144.8978
ID936844579,19 Derna St,2,h,752000.0,18/03/2017,1.0,0.0,627.0,64.0,-37.7469,145.0399
ID803738727,24 Tivoli Rd,3,h,1810000.0,24/06/2017,2.0,2.0,273.0,49.0,-37.8386,144.99851999999996
ID126010582,1/249 Lower Plenty Rd,3,h,720000.0,13/08/2016,1.0,2.0,604.0,109.0,-37.7377,145.0737
ID255293260,74 Arthur St,3,h,796000.0,24/06/2017,2.0,2.0,534.0,69.0,-37.69852,145.04836
ID481962672,77 Corrigan Av,2,u,555000.0,29/07/2017,2.0,1.0,207.0,9.0,-37.820009999999996,144.84245
ID688866347,10 Dundalk St,3,h,651500.0,8/04/2017,1.0,1.0,555.0,69.0,-37.7988,144.822
ID284839300,14 Myers St,3,h,485000.0,12/11/2016,4.0,2.0,482.0,64.0,-37.7904,144.8133
ID260419890,15 Howitt St,4,h,3010000.0,24/09/2016,3.0,2.0,677.0,109.0,-37.8476,145.0554
ID542084653,89 Sayers Rd,4,h,510000.0,1/07/2017,2.0,2.0,443.0,69.0,-37.8543,144.74437
ID613127691,160 New St,2,h,1601000.0,17/09/2016,1.0,1.0,380.0,61.0,-37.9166,144.9926
ID915137233,208/11 Hillingdon Pl,1,u,550000.0,8/04/2017,1.0,1.0,0.0,119.0,-37.8516,144.9943
ID502532088,69 Buckingham St,3,h,1525000.0,9/09/2017,2.0,0.0,195.0,129.0,-37.81384,145.00358
ID188263492,1 Jordan St,2,h,1315000.0,24/09/2016,1.0,2.0,554.0,89.0,-37.7715,144.9426
ID332164974,40/337 Station St,1,u,370000.0,3/12/2016,1.0,1.0,0.0,20.0,-37.7634,145.02100000000004
ID794597016,1/23 Hawthorn Gr,1,u,415000.0,15/07/2017,1.0,1.0,0.0,5.0,-37.81519,145.03153
ID196306903,1/183 Kooyong Rd,2,u,857000.0,22/08/2016,0.0,0.0,0.0,56.0,-37.8458,145.0221
ID551942665,74 Pender St,3,h,1040000.0,25/02/2017,1.0,2.0,399.0,79.0,-37.7366,145.0063
ID439828868,3 Garden St,3,h,1494000.0,3/06/2017,1.0,0.0,333.0,51.0,-37.8649,144.89524
ID520032970,22 Andrews St,3,h,1175000.0,15/10/2016,1.0,2.0,661.0,54.0,-37.8495,145.1282
ID954789591,47 Churchill Wy,3,h,710000.0,19/08/2017,1.0,2.0,837.0,59.0,-37.796820000000004,145.30467
ID276315330,21/62 Wattletree Rd,2,u,821000.0,12/08/2017,2.0,1.0,3093.0,13.0,-37.86165,145.02148
ID548997726,70 Wetherby Rd,3,h,1410000.0,19/08/2017,1.0,2.0,723.0,24.0,-37.79309,145.14287
ID711178712,6 Melrose Ct,4,h,1152000.0,9/09/2017,2.0,2.0,734.0,83.0,-37.874320000000004,145.18766000000005
ID300535728,80 Gamon St,2,h,815000.0,30/07/2016,1.0,0.0,172.0,119.0,-37.81,144.8896
ID335108924,54 Brooke St,2,h,1550000.0,7/05/2016,1.0,1.0,167.0,119.0,-37.8405,144.9521
ID607654824,18 Lorraine St,4,h,2355000.0,25/02/2017,2.0,3.0,715.0,99.0,-37.7582,144.9128
ID508568642,4/605 High St,2,u,630000.0,20/05/2017,1.0,1.0,0.0,49.0,-37.8538,145.0088
ID126780341,1/536 Albion St,2,h,440000.0,28/08/2016,1.0,1.0,0.0,59.0,-37.7577,144.9354
ID911325726,17 Estelle St,3,h,1100000.0,17/06/2017,1.0,1.0,711.0,49.0,-37.77918,145.09049
ID866244335,8 Fulham Cl,3,h,750000.0,26/08/2017,1.0,2.0,698.0,59.0,-38.16624,145.13297
ID897262469,11 Caldwell St,3,h,721000.0,8/10/2016,1.0,2.0,674.0,43.0,-37.7102,144.9362
ID503709356,8 Howard Ct,3,h,1100000.0,27/11/2016,2.0,2.0,771.0,59.0,-37.7765,145.11700000000005
ID260438790,29 Brentwood Dr,3,h,820000.0,8/07/2017,1.0,2.0,680.0,19.0,-37.77178,144.85397
ID608075522,60 Carlisle St,2,h,1108000.0,22/04/2017,1.0,0.0,258.0,79.0,-37.7521,145.0071
ID917086566,6 Staff St,4,h,920000.0,28/05/2016,1.0,0.0,274.0,79.0,-37.8039,144.8929
ID408047142,4/76 Railway Rd,2,u,516000.0,6/08/2016,1.0,1.0,0.0,99.0,-37.889,145.0533
ID373437525,13 Anglers Dr,4,h,600000.0,22/07/2017,2.0,2.0,500.0,6.0,-37.627559999999995,145.03364
ID533968331,325 Belmore Rd,5,h,3250000.0,6/08/2016,4.0,2.0,886.0,6.0,-37.804,145.0951
ID875303025,94 Mason St,2,h,801000.0,18/06/2016,1.0,1.0,343.0,99.0,-37.8414,144.8752
ID949827994,2/38 Ethel St,2,h,501000.0,29/07/2017,1.0,1.0,71.0,49.0,-37.77169,144.97557
ID712347234,90 Clarinda Rd,4,h,1715000.0,3/12/2016,2.0,3.0,668.0,19.0,-37.7633,144.908
ID557181233,35 Douglas St,3,h,1365000.0,10/09/2016,1.0,1.0,792.0,69.0,-37.864000000000004,145.0972
ID514614536,4/93 Harding St,3,t,590000.0,17/09/2016,2.0,2.0,0.0,6.0,-37.7458,144.9751
ID510244764,99 Murray Rd,3,h,900000.0,12/11/2016,1.0,1.0,527.0,69.0,-37.7396,145.0174
ID498809458,41 Clifton St,2,h,1035000.0,13/08/2016,1.0,0.0,108.0,119.0,-37.8251,144.9959
ID329002362,25 Marriot Rd,3,h,810000.0,1/07/2017,2.0,2.0,766.0,24.0,-37.714240000000004,144.7958
ID439806587,1/78 Oxford St,2,t,945000.0,8/04/2017,1.0,1.0,15900.0,139.0,-37.8035,144.985
ID571097059,12 Power St,3,h,1670000.0,22/04/2017,1.0,1.0,534.0,3.0,-37.8114,145.0793
ID799741499,58 Sherbrooke Av,3,h,840000.0,29/07/2017,1.0,4.0,601.0,69.0,-37.93869,145.08441000000005
ID686529471,3/178 Sycamore St,2,u,490000.0,29/04/2017,1.0,1.0,0.0,59.0,-37.8906,145.0259
ID435599222,27 Bewdley St,4,h,1875000.0,7/11/2016,2.0,2.0,702.0,90.0,-37.9063,145.0493
ID139634698,3/11 Lincoln Pl,2,h,1177000.0,18/03/2017,2.0,2.0,521.0,19.0,-37.8543,144.9939
ID253002668,2/1099 Doncaster Rd,3,u,850000.0,17/06/2017,2.0,1.0,236.0,39.0,-37.789629999999995,145.16973000000004
ID704018409,1/25 Mercer Rd,3,u,2120000.0,29/04/2017,2.0,3.0,395.0,39.0,-37.8536,145.0263
ID538050424,3/14 Aberdeen St,2,u,452000.0,13/08/2016,1.0,1.0,0.0,49.0,-37.703,145.0201
ID606604845,7 Colclough Ct,5,h,880000.0,30/07/2016,3.0,2.0,387.0,59.0,-37.7225,144.9055
ID607234054,1/27 Baird St,3,t,728000.0,15/10/2016,2.0,2.0,218.0,109.0,-37.7895,144.8723
ID401375268,6/14 Shelley St,2,u,599999.0,3/12/2016,1.0,0.0,0.0,18.0,-37.8808,144.9847
ID583655162,199 Mansfield St,1,u,300000.0,22/04/2017,1.0,1.0,948.0,49.0,-37.7577,145.0151
ID957140328,33 Argyle Rd,4,h,2286000.0,15/10/2016,3.0,2.0,712.0,44.0,-37.8034,145.0527
ID946190364,1/59 Parker St,3,t,766000.0,18/03/2017,1.0,1.0,226.0,59.0,-37.7567,145.1209
ID879657603,129 Outhwaite Rd,2,h,875000.0,24/06/2017,1.0,3.0,671.0,19.0,-37.739020000000004,145.04529
ID310055262,86 Northumberland Rd,3,h,680000.0,18/03/2017,1.0,2.0,553.0,44.0,-37.7706,144.8422
ID731514487,18/61 High St,2,u,685000.0,20/05/2017,1.0,1.0,8220.0,54.0,-37.8508,144.9874
ID938685241,2/9 Standring Cl,3,h,988000.0,19/08/2017,2.0,2.0,243.0,7.0,-37.78298,145.17682
ID717858518,3 Valnere St,4,h,940000.0,7/05/2016,2.0,1.0,516.0,34.0,-37.7839,144.8853
ID410281990,2/120 Suffolk St,2,h,502000.0,8/10/2016,1.0,1.0,144.0,14.0,-37.7895,144.8667
ID974194346,67 Alexandra St,3,h,1326000.0,24/06/2017,1.0,2.0,1020.0,59.0,-37.70821,145.10405
ID287766856,60 Bardsley St,3,h,650000.0,18/03/2017,1.0,3.0,612.0,49.0,-37.7916,144.82
ID294516006,3 Leyte Pde,3,h,880000.0,6/05/2017,1.0,2.0,689.0,4.0,-37.7382,145.0451
ID566145717,16 Flowerdale Rd,5,h,2000000.0,14/05/2016,3.0,1.0,696.0,99.0,-37.8563,145.0709
ID556732175,5/67 Auburn Rd,1,u,350000.0,12/11/2016,1.0,1.0,0.0,59.0,-37.8208,145.0456
ID535827525,1/10 Florence Rd,2,u,813000.0,28/01/2016,1.0,2.0,108.0,99.0,-37.8276,145.1023
ID409137922,110/61 Stawell St,1,u,405000.0,7/05/2016,1.0,1.0,7455.0,14.0,-37.821999999999996,145.0104
ID985752638,36 Windsor St,3,h,932000.0,13/08/2016,1.0,1.0,451.0,109.0,-37.8023,144.8915
ID510439100,39 Heath St,2,h,900000.0,14/05/2016,1.0,0.0,124.0,119.0,-37.8356,144.9439
ID218762349,16 Border Dr,3,h,703000.0,3/09/2016,2.0,2.0,683.0,24.0,-37.7402,144.8591
ID197692444,59 Bemersyde Dr,4,h,608500.0,17/06/2017,2.0,2.0,563.0,24.0,-38.05379,145.34803
ID661609127,398 Grimshaw St,3,h,680000.0,22/07/2017,1.0,3.0,539.0,28.0,-37.7015,145.07548
ID477712716,130 Manningham Rd,3,h,880000.0,4/06/2016,2.0,2.0,514.0,59.0,-37.7683,145.0959
ID966151968,27 Andrew St,2,h,865000.0,12/08/2017,2.0,0.0,70.0,49.0,-37.85143,144.98574
ID684358409,5 Grange Rd,3,h,1650000.0,6/08/2016,1.0,2.0,875.0,7.0,-37.8815,145.0491
ID508029609,2a Flinders St,3,h,685000.0,26/07/2016,2.0,2.0,260.0,49.0,-37.7226,144.8569
ID604272280,431 George St,3,h,1250000.0,17/09/2016,1.0,1.0,113.0,129.0,-37.7966,144.9821
ID166840202,33 Charlton St,4,t,990000.0,3/06/2017,2.0,1.0,296.0,69.0,-37.8054,145.15701
ID743215012,25 Valencia St,2,h,1300000.0,8/10/2016,1.0,5.0,528.0,24.0,-37.7617,144.8987
ID292803301,160 Dalton Rd,3,h,550000.0,27/05/2017,1.0,2.0,551.0,44.0,-37.67646,145.03083999999996
ID163541363,42 Farm St,3,h,1151000.0,27/06/2016,1.0,5.0,571.0,99.0,-37.8417,144.8896
ID563175461,66 Champion St,4,h,3900000.0,22/05/2016,2.0,2.0,842.0,29.0,-37.9227,145.0043
ID848227265,2/16 Argyle St,2,u,535000.0,29/04/2017,1.0,1.0,1026.0,49.0,-37.911,145.0711
ID974682848,99 Newry St,2,h,1680000.0,24/06/2017,1.0,1.0,185.0,12.0,-37.7907,144.98163
ID401413519,4 Platypus Ct,5,h,1150000.0,10/09/2016,3.0,2.0,446.0,17.0,-37.7712,144.8763
ID360514779,38 Rourke La,2,h,732000.0,18/06/2016,2.0,1.0,94.0,17.0,-37.7934,144.9166
ID913517023,38 Gillard St,5,h,1410000.0,18/03/2017,2.0,1.0,824.0,69.0,-37.8535,145.1139
ID790184685,9 Pitt St,4,h,1950000.0,28/05/2016,2.0,2.0,844.0,79.0,-37.8715,145.0688
ID464578428,64 Glyndon Rd,4,h,3050000.0,3/06/2017,2.0,2.0,984.0,89.0,-37.84,145.07853
ID296292441,8/67 High St,2,u,700000.0,12/11/2016,1.0,1.0,0.0,131.0,-37.851,144.988
ID547868081,62A Williamstown Rd,2,h,735000.0,17/06/2017,1.0,1.0,170.0,79.0,-37.80635,144.8845
ID488538859,34 Ralph St,4,h,859000.0,22/07/2017,2.0,2.0,699.0,20.0,-37.78945,144.80062
ID351762333,5/29 Pine St,2,u,700000.0,3/12/2016,1.0,1.0,0.0,69.0,-37.9195,145.0067
ID688274670,6 Wicklow St,3,h,800000.0,13/05/2017,1.0,2.0,506.0,49.0,-37.7187,144.9433
ID777354282,14 Hutchinson St,3,h,998000.0,23/04/2016,1.0,2.0,104.0,19.0,-37.7723,144.9761
ID988137006,6 Collings Ct,2,h,810000.0,22/05/2016,1.0,1.0,783.0,69.0,-37.7196,144.9485
ID677278016,34 Ernest St,4,h,890000.0,12/11/2016,1.0,2.0,668.0,89.0,-37.7796,144.845
ID558344522,8 Echuca St,3,h,477000.0,3/09/2017,1.0,1.0,627.0,59.0,-37.667809999999996,144.93809
ID968786323,30 Mulkarra Dr,3,h,840000.0,3/06/2017,2.0,2.0,534.0,44.0,-38.04683,145.1261
ID705048629,46 Dunstan St,2,h,835000.0,4/03/2017,1.0,1.0,490.0,69.0,-37.7311,144.9863
ID661852733,10 Baird St,5,h,900000.0,12/08/2017,3.0,4.0,663.0,79.0,-37.70659000000001,144.97109
ID211013171,12 Barcelona St,4,h,1461400.0,17/09/2016,2.0,2.0,780.0,92.0,-37.8244,145.1319
ID310310192,1/46 Davies St,2,h,650000.0,29/07/2017,1.0,1.0,108.0,49.0,-37.75715,144.96823999999995
ID712323996,6/57 Adams St,2,u,747500.0,22/07/2017,1.0,1.0,0.0,11.0,-37.83564000000001,144.97728999999995
ID531547315,9 Brooke St,2,h,1255000.0,18/03/2017,1.0,2.0,314.0,19.0,-37.7762,145.003
ID559078435,96 Pentland Pde,3,h,1100000.0,9/09/2017,1.0,0.0,221.0,71.0,-37.81284,144.89158999999995
ID966400135,2/10 Military Rd,2,u,440000.0,18/03/2017,1.0,1.0,263.0,20.0,-37.7697,144.8657
ID922270242,1/37 Thornhill Dr,3,h,575000.0,24/06/2017,1.0,1.0,307.0,29.0,-37.72545,144.80397
ID939746295,67 McGregor St,3,h,2010000.0,3/06/2017,1.0,0.0,207.0,129.0,-37.853559999999995,144.96415
ID800746900,403/79 River St,2,u,850000.0,22/04/2017,2.0,2.0,17200.0,19.0,-37.8361,144.9966
ID505324130,35 Elizabeth St,3,h,1537000.0,25/02/2017,2.0,2.0,324.0,20.0,-37.9034,145.017
ID437938150,9 McLeod St,3,h,632000.0,27/05/2017,1.0,1.0,471.0,69.0,-37.76951,144.83309
ID177093560,1/569 Camberwell Rd,2,h,950000.0,4/06/2016,1.0,2.0,230.0,25.0,-37.8448,145.0723
ID368212447,7 Grieve St,4,h,2575000.0,10/09/2016,3.0,2.0,657.0,13.0,-37.7981,145.0904
ID632352776,117 Charles St,3,h,1255000.0,28/05/2016,1.0,1.0,231.0,109.0,-37.8467,144.9894
ID158495884,7/49 Bruce St,2,u,867000.0,8/04/2017,1.0,1.0,1087.0,16.0,-37.8373,145.0106
ID976600383,212 Reynard St,4,h,1075000.0,25/02/2017,1.0,4.0,531.0,94.0,-37.7473,144.9528
ID351762333,5/29 Pine St,2,u,700000.0,3/12/2016,1.0,1.0,0.0,69.0,-37.9195,145.0067
ID639973955,21 Princess St,4,h,1725000.0,27/06/2016,2.0,3.0,709.0,14.0,-37.8065,145.0287
ID642127626,21 Beattie St,3,h,806000.0,27/05/2017,1.0,0.0,396.0,64.0,-37.71665,145.11682
ID334572466,16 Bevis St,5,h,1800000.0,26/08/2017,3.0,3.0,697.0,59.0,-37.91865,145.05418
ID851493737,1 Cowes Pl,4,h,853000.0,15/07/2017,3.0,2.0,724.0,29.0,-37.70941,144.7873
ID417862600,332 Albion St,2,h,792000.0,12/11/2016,1.0,1.0,149.0,12.0,-37.7597,144.9528
ID973266162,4/10 Gladstone Pde,2,u,565000.0,12/08/2017,1.0,2.0,193.0,24.0,-37.70612,144.9144
ID791978693,81 Parsons St,3,h,1070000.0,27/05/2017,2.0,2.0,573.0,79.0,-37.791270000000004,144.83713
ID831382364,45 Kerferd St,4,h,1000000.0,17/09/2016,2.0,1.0,381.0,81.0,-37.7337,144.9548
ID612926195,16/89 Neerim Rd,2,t,636500.0,22/05/2016,1.0,1.0,0.0,49.0,-37.8866,145.0396
ID505868435,12 Mell St,2,h,1900000.0,25/02/2017,2.0,0.0,218.0,14.0,-37.847,145.0064
ID486607840,16 Smith St,3,h,772000.0,15/10/2016,1.0,1.0,367.0,69.0,-37.728,144.963
ID378369633,5/80 Burke Rd,1,u,315000.0,27/11/2016,1.0,1.0,0.0,79.0,-37.8704,145.0495
ID151197936,52a Deakin St,3,u,840000.0,4/03/2017,2.0,1.0,282.0,39.0,-37.7491,144.8917
ID953131047,8 Garton St,2,h,1080000.0,12/11/2016,1.0,0.0,105.0,109.0,-37.8338,144.9474
ID695309250,56 The Grove,6,h,1900000.0,10/12/2016,2.0,2.0,1060.0,59.0,-37.7523,144.9725
ID967302040,18 Mervin St,2,h,1410000.0,3/09/2016,1.0,2.0,768.0,51.0,-37.9305,145.0547
ID802397576,30 Kinsale St,3,h,851500.0,22/08/2016,1.0,1.0,0.0,89.0,-37.7217,144.9954
ID976746642,147 Derby St,3,h,806000.0,8/04/2017,1.0,1.0,488.0,49.0,-37.7253,144.9467
ID553338276,89 McMahon Rd,3,h,620000.0,27/11/2016,1.0,2.0,653.0,59.0,-37.7108,145.0156
ID974944813,38 Daisy St,3,h,1040000.0,12/08/2017,1.0,1.0,756.0,58.0,-37.82909,145.233
ID148890292,10 Beryl St,3,h,1245000.0,7/05/2016,1.0,1.0,64.0,6.0,-37.7494,144.8848
ID681871916,10 Beaumont St,3,h,1935000.0,26/08/2017,2.0,2.0,449.0,104.0,-37.82359,145.0693
ID488557804,37/12 Copelen St,2,t,1050000.0,17/06/2017,1.0,1.0,0.0,19.0,-37.83543,144.99907
ID275409645,31 Mill St,4,h,1150000.0,27/05/2017,2.0,2.0,599.0,19.0,-38.01468,145.09788999999995
ID292506054,8 Sherwood St,3,h,630000.0,3/12/2016,1.0,1.0,604.0,49.0,-37.7124,144.9514
ID490292670,11 Duffy St,3,h,1320000.0,14/05/2016,1.0,1.0,766.0,49.0,-37.7388,144.9006
ID185681484,36 Meek St,3,h,2140000.0,8/04/2017,2.0,2.0,393.0,139.0,-37.902,144.9922
ID176045104,125 Bignell Rd,3,h,1410000.0,24/06/2017,2.0,3.0,722.0,59.0,-37.93179,145.06957
ID407314155,52a Tucker Rd,2,u,725000.0,29/04/2017,1.0,1.0,0.0,13.0,-37.9296,145.0498
ID483032465,26/69 Wellington St,1,u,459000.0,8/10/2016,1.0,1.0,0.0,24.0,-37.8568,144.9873
ID357778120,31a Winter St,3,h,2300000.0,30/07/2016,2.0,2.0,313.0,99.0,-37.8603,145.0322
ID892086986,7 Stanley St,4,h,3225000.0,27/05/2017,3.0,3.0,803.0,39.0,-37.9146,145.00535
